F_CODE,F_NAME,F_SIZE,F_CAL,F_CARBO,F_PROTEIN,F_FAT,F_SUGAR,F_NA,F_COLE
P028373,게살볶음밥,225,350,72,8,3.4,0.3,521,33
P028374,울릉도 부지깽이 나물밥,225,395,71,7,9.1,2,520,0
P028376,담양 죽순밥,225,330,68,7,3.2,1,510,0
P028377,나시고랭,250,430,89,12,2.9,7,490,15
P028379,고슬고슬한 곤드레나물밥,240,435,80,8,9,0,380,8
P028381,유어스 김치볶음밥,230,380,69,5,9,6,280,0
P028382,연잎밥,210,378,84,8.4,0.8,2.1,269,0
P028385,비비고 김치낙지죽,450,225,43,8,2.6,2,1250,20
P028386,비비고 통단팥죽,280,145,27,8,0.7,23,540,0
P028387,누룽지닭백숙죽,280,150,26,7,1.8,1,610,10
P028391,오즈키친 동지팥죽,450,565,92,16,15,31,800,0
P028392,영양닭죽,400,220,44,8,1.6,0,700,15
P028393,영양쇠고기죽,400,230,42,8,3.6,3,620,10
P028395,참치죽(용기),285,145,24,7,2.5,2,550,10
P028396,계란야채죽(용기),285,200,36,4,4.3,2,630,15
P028398,아침엔본죽 보양삼계죽,300,190,35,6,2.6,0,570,0
P028399,화끈짬뽕죽,300,240,40,10,4.4,2,560,50
P028401,본죽 일품쇠고기미역죽,500,305,50,13,6,0,1200,10
P028402,본죽 전복죽,272,165,25,3,6,1,520,0
P028403,본죽 야채죽,272,155,26,3,5,3,530,5
P028404,본죽 통단팥죽,270,285,59,10,1.1,23,340,0
P028405,본죽 단호박죽,270,195,41,3,2.1,25,560,0
P028406,본죽 일품해물죽,500,290,52,7,6,2,980,5
P028408,양반 단호박죽,420,350,80,5,1,41,630,0
P028409,양반 쇠고기죽,420,275,43,8,8,1,1030,11
P028412,양반 홍게살죽,287,175,28,4,5,1,485,25
P028414,양반 영양닭죽,285,140,26,7,0.7,0,780,35
P028416,동원 데일리케어 쇠고기죽,288,165,26,7,3.7,0,570,15
P028417,양반 전복오곡죽,288,160,31,4,2.2,1,690,20
P028418,양반 쇠고기오곡죽,288,165,30,6,2.5,0,660,13
P028424,새송이쇠고기죽,288,445,53,13,20,0,850,30
P028428,오곡 삼계죽,260,200,29,8,6,1,590,10
P028431,청정원 우리쌀 야채죽,60,235,49,4,2.3,5,1100,5
P028432,청정원 우리쌀 쇠고기죽,60,235,48,5,2.3,4,1130,5
P028433,쇠고기죽,42,160,30,3,3.3,2,440,0
P028434,통곡물 닭죽,300,120,19,7,2,0,300,14
P028437,팥죽,230,135,26,7,0.6,0,300,0
P028438,호박죽,280,170,38,3,0.6,10,370,0
P028439,전복죽,250,170,34,5,1.5,3,95,0
P028440,단팥죽,250,230,49,8,0,1,130,0
P028441,단호박죽,250,250,60,3,0,7,115,0
P028444,팥죽,280,265,50,14,1.1,1,220,0
P028445,밤.단호박죽,450,335,77,2,2.2,38,540,0
P028447,진한전복죽,450,345,57,5,11,0,1210,15
P028448,야채버섯죽,450,380,64,4,12,3,1100,0
P028449,요리하다 바로죽 단호박,130,85,20,1,0,12,50,0
P028450,바로죽 현미&단팥,130,100,21,3,0.65,4,215,0
P028451,요리하다 바로죽 고구마,130,95,23,1,0,13,65,0
P028452,요리하다 삼계죽,250,125,22,5,2.1,0,410,10
P028453,소고기 야채죽,253,182,26.5,8.6,4.6,1,520,10.8
P028454,아워홈 단호박죽,270,210,33,3,7,12,300,0
P028455,아워홈 통단팥죽,270,250,52,8,1.1,16,470,0
P028457,황태콩나물해장국밥,272,270,50,9,3.5,1,1090,20
P028458,매콤낙지덮밥,250,335,57,9,8,6,760,45
P028459,참치마요덮밥,217,425,55,11,18,7,620,30
P028460,진한쇠고기미역국밥,284,310,56,11,4.6,2,1290,10
P028461,서울식설렁탕국밥,281,270,50,10,3.5,1,850,20
P028462,얼큰쇠고기전골밥,290,345,58,13,7,2,1400,15
P028463,양송이비프카레밥,280,355,60,11,8,5,810,25
P028464,사천식직화짜장밥,280,405,68,8,11,7,970,20
P028466,곤드레나물보리밥,214,305,48,6,10,2,480,0
P028467,평양식온반,282,265,52,9,2.2,1,770,15
P028468,닭백숙누룽지탕,190,315,62,12,2.2,1,980,15
P028470,햇반컵밥 강된장보리비빔밥,280,345,67,10,4.1,3,910,0
P028471,햇반컵밥 치킨마요덮밥,233,415,59,13,14,5,770,65
P028472,햇반컵밥 중화마파두부덮밥,270,400,65,10,11,6,920,5
P028473,햇반컵밥 닭곰탕밥,261,275,55,10,1.9,2,700,10
P028474,햇반컵밥 고추장제육덮밥,250,375,72,10,5,12,950,10
P028475,햇반컵밥 레드스파이시커리덮밥,280,440,64,6,18,3,690,20
P028476,미역국밥,167,265,57,6,1.4,0,920,0
P028477,불고기덮밥,250,315,64,10,2,7,750,15
P028482,종가집 우리쌀 컵 누룽지,60,245,52,5,1.9,0,30,0
P028483,큰컵밥 새우간짜장,340,450,85,11,7,8,915,15
P028484,육개장국밥,460,365,75,10,2.8,2.3,1180,9.6
P028485,큰컵밥 강된장덮밥,340,430,83.6,10.5,6,10,1330,10
P028488,해담은베리 오디 원액 100%,100,28.15,6.66,0.31,0.03,4.93,0.62,0
P028489,오디즙,100,40,10,0,0,9,0,0
P028490,부안 오디즙(추출),100,42.1,9.6,0.7,0.1,9.5,0.4,0
P028491,저온착즙 상주 오디즙,100,65,15,0.7,0,13,0,0
P028492,오디원액 (골드),100,40,10,0,0,9,0,0
P028493,울어매 오디진액,100,40,10,0,0,10,0,0
P028494,일건식 오디 원액,100,30,6,1,0,6,0,0
P028495,상주명품오디즙,100,65,15,0.7,0,13,0,0
P028496,오디 원액,100,30,6,1,0,6,0,0
P028497,오디 원액,100,46,10.3,1.6,0.2,0,0,0
P028498,오디즙,100,35.62,7.53,0.88,0.22,4.72,0.78,0
P028499,토종오디생즙,100,54.7,12.3,0.7,0.3,12.3,0.1,0
P028500,미닛메이드 스파클링 청포도 1.25L,399,559,0,27,0,13,1444,0
P028501,스프라이트 1.5L,1250,450,0,0,0,113,38,0
P028502,스프라이트 500ml,1500,700,0,0,0,170,150,0
P028503,씨그램(레몬맛) 350ml,500,233,0,0,0,57,50,0
P028504,코카콜라 1.25L,200,92,0,0,0,0,12,0
P028505,코카콜라 500ml,500,216,54,0,0,54,15,0
P028506,코카콜라 제로 1.5L,500,216,0,0,0,54,15,0
P028507,코카콜라 제로 500ml,1500,0,0,0,0,0,100,0
P028508,펩시 500mL,500,217,0,0,0,57,17,0
P028509,펩시 1.25L,1250,541,0,0,0,103,35,0
P028510,칠성사이다 500mL,500,208,0,0,0,56,10,0
P028511,칠성사이다 1.25L,1250,520,0,0,0,139,25,0
P028512,펩시콜라500ML,500,220,0,0,0,56,10,0
P028513,"펩시콜라1,250ML",1250,550,0,0,0,140,25,0
P028514,사이다500ML,500,220,0,0,0,54,10,0
P028515,"사이다1,250ML",1250,550,0,0,0,135,25,0
P028516,콜라,63,44,0,0,0,10,6,0
P028517,사이다,63,44,0,0,0,11,9,0
P028518,콜라 500ml,200,220,0,0,0,54,30,0
P028519,콜라 1.25L,200,550,0,0,0,135,75,0
P028520,스프라이트 500ml,200,240,0,0,0,60,50,0
P028521,스프라이트 1.5L,200,600,0,0,0,150,125,0
P028522,코카콜라 0.5L,500,216,0,0,0,54,15,0
P028523,코카콜라 1.25L,1250,550,0,0,0,138,38,0
P028524,스프라이트 0.5L,500,228,0,0,0,57,47,0
P028525,스프라이트 1.5L,1500,660,0,0,0,165,135,0
P028526,디핑소스(30g),30,92,0,0,0,1,171,0
P028527,"컵 피클(작은컵, 70g)",70,65,0,0,0,10.8,7.5,0
P028528,"컵 피클 (큰컵,120g)",60,56,0,0,0,9.2,6.4,0
P028529,코카콜라,500,224,0,0,0,54,75,0
P028530,스프라이트,500,240,0,0,0,60,48,0
P028531,코카콜라제로,500,0,0,0,0,0,30,0
P028532,환타오렌지,600,326,0,0,0,82,19,0
P028533,미닛메이드 오렌지,350,168,0,2,0,37,75,0
P028534,사이다(S),265,84,0,0,0,19,0,0
P028535,오렌지주스 (400ml PET),400,145,0,2,0,28,0,0
P028536,콜라S,265,81,0,0,0,20,0,0
P028537,우유,265,179,0,9,0,13,0,0
P028538,사이다(R),420,133,0,0,0,31,0,0
P028539,콜라(R),420,128,0,0,0,31,0,0
P028540,레드 선라이즈 270ML,270,130,0,1,0,27,10,0
P028541,옐로우 패션 270ML,270,145,0,1,0,31,5,0
P028542,파인 그린 270ML,270,140,0,1,0,28,5,0
P028543,딸기주스 190ML,190,100,0,1,0,19,15,0
P028544,망고주스 190ML,190,112,0,1,0,24,35,0
P028545,밀싹&민트 주스 190ML,190,95,0,1,0,19,40,0
P028546,수박주스 190ML,190,90,0,2,0,18,30,0
P028547,케일&사과주스 190ML,190,135,0,2,0,26,20,0
P028548,토마토주스 190ML,190,70,0,1,0,17,120,0
P028549,한라봉주스 190ML,190,88,0,1,0,20,40,0
P028550,블루베리 요거트 190ML,190,155,0,5,0,18,70,0
P028551,치아씨드 요거트 190ML,190,145,0,6,0,14,70,0
P028552,단호박 당근 수프,180,144,0,2,0,48,144,0
P028553,현미 크림 수프,180,146,0,3,0,3,325,0
P028554,우리나라 옥고감,230,260,0,7,0,0,0,0
P028555,한 입에 쏙 호두,80,292,0,5,0,9,656,0
P028556,사과 가득 핸디 젤리,130,80,0,0,0,18,20,0
P028557,스타벅스 리얼 후르츠 - 사과,20,71,0,0,0,1,0,0
P028558,제주 자연 청 세트,500,1245,0,3,0,124,30,0
P028559,하루 한 컵 GREEN,150,90,0,1,0,0,3,0
P028560,하루 한 컵 RED,150,60,0,0.7,0,0,59,0
P028561,한라봉 가득 핸디 젤리,130,75,0,0,0,18,15,0
P028562,밀크 푸딩,100,185,0,4,0,16,50,0
P028563,스타벅스 오가닉 그릭 요거트,90,115,0,5,0,8,70,0
P028564,오가닉 그릭 요거트 플레인 JAR,100,95,0,7,0,6,85,0
P028565,초콜릿 푸딩,100,200,0,5,0,19,55,0
P028566,오도독 건강한 넛&블루베리,30,169,0,5,0,5,0,0
P028567,2019 W-DAY 오로라 캔디(걸),112,436,0,0,0,74,0,0
P028568,2019 W-DAY 오로라 캔디(보이),112,436,0,0,0,74,0,0
P028569,New 한 입에 쏙 고구마,80,265,0,3,0,22,35,0
P028570,라이스 칩(블루베리 잼),35,140,0,3,0,0,72,0
P028571,스타벅스 찹쌀말랑,66,209,0,1,0,7,30,0
P028572,씨프렌즈 캔디,50,196,0,0,0,34,5,0
P028573,애프터 커피 캔디 (레몬라임),20,80,0,0,0,19,0,0
P028574,애프터 커피 캔디 (페퍼민트),20,80,0,0,0,20,0,0
P028575,고구마 말랭이,60,185,0,2,0,23,15,0
P028576,이너츠,25,143,0,4,0,2,0,0
P028577,갈릭소스,30,210.6,0,0.36,0,0,135,0
P028578,밀크초콜릿,50,300,8,1,6,7,10,0
P028579,다크초콜릿,50,255,7,1,5,7,0,0
P028580,커피빈 다크 쇼콜라,54,297,10,0,0,0,2,0
P028581,쏘시봉,55,110,8,4,7,2,370,0
P028582,초콜릿파우더,56,230,43,5,5,36,190,0
P028583,헤이즐넛향파우더,56,260,43,1,10,32,160,0
P028584,다크초콜릿파우더,56,224,43.4,4.2,5.6,35,133,0
P028585,바닐라파우더,56,240,42,5,6,37,140,0
P028586,사과한모금(120ml*24입 ),120,60,15,0,0,14,0,0
P028587,포도한모금(120ml*24입 ),120,60,14,0,0,12,0,0
P028588,감귤주스,180,85,18,1,0.9,18,0,0
P028589,감귤즙,620,185,50,0,0,37,60,0
P028590,감귤한모금(120ml*24입 ),120,55,13,0,0,12,0,0
P028591,감귤한모금(190ml*24입),190,90,22,0,0,20,0,0
P028592,감귤한모금(120ml*16입),120,55,13,0,0,12,0,0
P028593,감귤한모금 120ml,120,55,13,0,0,12,0,0
P028594,감귤한모금 190ml,190,90,22,0,0,20,0,0
P028595,과일듬뿍주스 150ml,150,66,16,0,0,16,0,0
P028596,과일듬뿍주스 (150ml*10개),150,66,16,0,0,16,0,0
P028597,당근사과주스 180ml,180,93,23,0.7,0,21,15,0
P028598,당근사과주스 1000ml,100,50,13,0,0,11,10,0
P028599,당근사과주스(120ml*10개 ),120,62,15,0.7,0,14,10,0
P028600,당근토마토주스 1000ml,200,60,14,0,0,12,40,0
P028601,딸기주스 190ml,190,85,21,0,0,17,10,0
P028602,무농약포도로만든포도즙 (120ml*20포),120,75,18,0.7,0,17,0,0
P028603,배도라지즙 120ml,120,70,16,0,0,15,0,0
P028604,배도라지즙 (120ml*20포),120,70,16,0,0,15,0,0
P028605,배즙 120ml,120,60,14,0,0,13,0,0
P028606,배즙 (120ml*20포),120,60,14,0,0,13,0,0
P028607,블루베리아로니아액 80ml,80,20,4,0.2,0.3,4,1,0
P028608,블루베리아로니아액 (80ml*20포),80,20,4,0.2,0.3,4,1,0
P028609,블루베리액 80ml,80,0,8,0,0,7,0,0
P028610,블루베리액 (80ml*30포),80,0,8,0,0,7,0,0
P028611,사과주스 180ml,180,90,22,0,0,19,11,0
P028612,사과즙 (120ml*20포),120,58,14,0.7,0,14,0,0
P028613,사과한모금 190ml,190,100,24,0,0,23,0,0
P028614,사과한모금 120ml,120,60,15,0,0,14,0,0
P028615,사과한모금 (190ml*24입),190,100,24,0,0,23,0,0
P028616,사과한모금 (120ml*16입),120,60,15,0,0,14,0,0
P028617,생생비타 (100ml*10포),100,60,14,0,0,11,0,0
P028618,생생비타 100ml,100,60,14,0,0,11,0,0
P028619,석류즙 (120ml*15포),120,60,14,1,0,13,0,0
P028620,숨 (120ml*24입),120,45,11,0,0,8,0,0
P028621,숨 (190ml*24입 ),190,70,17,0,0,12,5,0
P028622,숨 190ml,190,70,17,0,0,12,5,0
P028623,숨 120ml,120,45,11,0,0,8,0,0
P028624,유기배즙 100ml,100,45,11,0,0,8,0,0
P028625,자연드림감귤주스 1L,1000,505,124,2,0,114,10,0
P028626,자연드림감귤주스 (1L*12개입),1000,505,124,0,0,114,10,0
P028627,토마토당근한모금(120ml*24입),120,60,14,0,0,14,10,0
P028628,토마토당근한모금(120ml*16입),120,60,14,0,0,14,10,0
P028629,토마토당근한모금 120ml,120,60,14,0,0,14,10,0
P028630,포도주스 180ml,180,94,23,0,0,18,10,0
P028631,포도주스 (180ml*10개),120,65,15,0,0,12,5,0
P028632,포도즙 (120ml*20포),120,65,15,0.7,0,13,0,0
P028633,포도한모금 190ml,190,100,23,0,0,20,0,0
P028634,포도한모금 (120ml*16입),120,60,14,0,0,12,0,0
P028635,포도한모금 120ml,120,60,14,0,0,12,0,0
P028636,포도한모금 (190ml*24입),190,100,23,0,0,20,0,0
P028637,하루채소과일 120ml,120,55,13,0,0,9,20,0
P028638,하루채소과일 (120ml*10개),120,55,13,0,0,9,20,0
P028639,해피망고주스 (190ml*24입 ),190,110,26,0.7,0,23,5,0
P028640,해피망고주스 190ml,190,110,26,0.7,0,23,5,0
P028641,해피파인애플주스 (190ml*24입),190,100,0,0,0,0,0,0
P028642,해피파인애플주스 (120ml*16입 ),120,65,15,0.7,0,13,0,0
P028643,해피파인애플주스 190ml,190,100,24,0.7,0,20,5,0
P028644,요거트파우더,20,85,18,0,1.3,14,5,0
P028645,녹차라떼(봉지),15,60,13,0,0.7,8,0,0
P028646,레몬에이드(분말),10,45,9,0,0.8,7,0,0
P028647,복분자아이스티,14,56,14,0,0,13,0,0
P028648,복분자아이스티(봉지),20,80,20,0,0,18,0,0
P028649,복숭아아이스티(봉지),20,80,20,0,0,19,0,0
P028650,요거트파우더딸기맛,20,80,19,0,0,17,0,0
P028651,율무차,18,80,13,1,2.4,5,55,0
P028652,율무차(봉지),18,80,13,1,2.4,5,55,0
P028653,코코드림(봉지),20,80,16,2,0.5,13,50,0
P028654,코코드림(스틱),20,85,14,3,1.6,14,20,0
P028655,마시는 카페라떼,190,140,21,3,4.9,19,40,0
P028656,마시는 카페라떼(190ml*24),190,140,21,3,4.9,19,40,0
P028657,에티카아메리카노블랙 1,1,4,0.7,0.7,0,0,0,0
P028658,에티카아메리카노블랙,1,4,0.7,0.7,0,0,0,0
P028659,에티카아메리카노스위트 1,5,20,4,0.7,0.4,4,0,0
P028660,에티카아메리카노스위트,5,20,4,0.7,0.4,4,0,0
P028661,에티카커피믹스*모카,12,55,9,0.7,2.2,6,5,0
P028662,에티카커피믹스*오리지널,12,55,9,0.7,1.9,7,0,0
P028665,자연드림 크리머,5,25,3,0,1.5,0,0,0
P028666,카페라떼,16,65,9,1,2,8,35,0
P028667,콜드브루커피원액(에티오피아),500,70,10,5,1.3,0,8,0
P028668,콜드브루커피원액(코스타리카),500,65,9,5,0.8,0,5,0
P028670,달콤홍삼,120,80,20,0,0,15,0,0
P028673,레드비트즙,100,15,4,0.7,0,3,15,0
P028674,마시는 복숭아초,510,1245,306,0,2,190,80,0
P028675,매실 넣은 양배추액,100,40,9,0.7,0,9,5,0
P028676,바나나발효초,100,165,41,0,0,31,0,0
P028677,발효숙성 노니 주스,100,20,4,0,0,3,10,0
P028678,파인애플 발효초,100,100,25,0,0,24,0,0
P028680,사과톡톡,350,190,46,0,0.6,43,0,0
P028681,사과톡톡 1,350,190,46,0,0.6,43,0,0
P028682,사이다,350,160,40,0,0,37,0,0
P028683,사이다 1,350,160,40,0,0,37,0,0
P028684,쌍화차,100,25,6,1,0,5,10,0
P028685,야채수(낱봉),150,5,1,0,0,0,10,0
P028686,야채수(박스),150,5,1,0,0,0,10,0
P028687,양배추액,100,9,2,0,0,2,0,0
P028688,양배추액 박스,100,9,2,0,0,2,0,0
P028689,양파즙,120,35,8,0.7,0,7,0,0
P028690,양파즙 박스,120,35,8,0.7,0,7,0,0
P028691,엄마사랑 어린이 야채수,120,0,6,0,0,4,0,0
P028692,엄마사랑 어린이 야채수(박스),120,0,6,0,0,4,0,0
P028693,유기농 전통 식혜,238,110,27,0,0,21,15,0
P028694,참다래 발효초,100,180,42,0,1,35,15,0
P028695,참든 새콤달콤 수세미즙,100,36,9,0,0,8,0,0
P028696,참든 유기 야채수,150,8,2,0,0,0.7,9,0
P028697,칡즙,100,26,6,0.5,0.2,1,10,0
P028698,탄산레몬라임 박스,500,0,0,0,0,0,0,0
P028699,탄산레몬라임,500,0,0,0,0,0,0,0
P028700,탄산수(플레인),500,0,0,0,0,0,0,0
P028701,파인애플발효초,100,100,25,0,0,24,0,0
P028702,유기농 냉 수정과 1.5L*유기*해오름,100,50,11,0,0.5,11,0,0
P028703,무항생제산양유,200,150,9,8,9,8,70,0
P028704,마시는초콜릿,120,84.6,16,2.6,1.1,12.1,39.9,0
P028705,마시는초콜릿 박스,120,84.6,16,2.6,1.1,12.1,39.9,0
P028706,단일목장유기농우유(데미샘),200,115,10,6,6,7,65,0
P028707,마시는초콜릿 24입,120,84.6,16,2.6,1.1,12.1,39.9,0
P028708,매실요구르트(파우치),120,115,16,4,3.8,13,35,0
P028709,딸기요구르트(파우치),120,115,17,4,3.7,14,50,0
P028710,플레인요구르트(파우치),120,105,14,4,3.8,11,50,0
P028711,플레인요구르트(낙안),100,87,11,3,3.2,9,40,0
P028712,플레인요구르트(가당),100,87,11,3,3.2,9,40,0
P028713,매실요구르트,100,95,14,3,3.2,11,35,0
P028714,구워먹는치즈,110,580,49,24,32,2,200,0
P028715,하먼자연치즈,20,70,1,4,5,0,70,0
P028716,i버터*130g,100,661,7.9,3.2,68.5,1.4,28.3,0
P028717,i우유*180ml*밀크쿱,180,125,9,6,7,10,75,0
P028718,i우유*900ml*밀크쿱,100,70,5,3,4,6,40,0
P028719,i우유 저지방*900ml*밀크쿱,100,45,5,3,1.1,4,40,0
P028720,데미샘아펜젤러치즈*100g*데미샘목장,100,366,0,25,25,0,680,0
P028721,데미생 홍삼우유*220ml,220,150,11,8,8,5,90,0
P028722,딸기우유,190,140,22,5,3.4,20,35,0
P028723,딸기우유 24입,190,140,22,5,3.4,20,35,0
P028724,목장스트링치즈,20,50,0.23,5,3.7,0,65,0
P028725,목장우유,190,120,9,6,6,8,95,0
P028726,목장우유 24입,190,120,9,6,6,8,95,0
P028727,목장크림치즈플레인,20,60,2,2,4.7,0,35,0
P028728,목장크림치즈플레인,23,70,3,3,5,1,40,0
P028729,바나나우유,190,135,21,4,4.3,20,75,0
P028730,바나나우유 24입,190,135,21,4,4.3,20,75,0
P028731,슬라이스치즈,18,50,1,4,3.2,0,150,0
P028732,평촌요구르트,500,375,43,12,17,34,250,0
P028733,평촌요구르트,150,110,13,4,5,10,75,0
P028734,초코아이스,62,81.2,12.6,1.5,2.7,12.5,28.4,0
P028735,프레쉬그릭요거트,85,105,12,4,4.3,8,60,0
P028736,프레쉬그릭요거트(대용량),100,105,8,5,6,5,75,0
P028737,프레쉬그릭요거트플레인,85,90,7,5,4.8,4,60,0
P028738,하먼슈레드치즈,80,230,8,18,14,0,150,0
P028739,검은콩두유(달콤한맛),195,115,14,8,2.9,5,250,0
P028741,검은콩두유(담백한맛),195,115,10,7,3.5,3,220,0
P028743,검은콩두유(우리콩식품),195,135,13,7,6,4,290,0
P028744,소이타임하얀콩,190,125,12,8,5,8,120,0
P028745,소이타임하얀콩 24입,190,125,12,8,5,8,120,0
P028746,오곡두유 박스,195,125,18,6,3.2,5,230,0
P028747,오곡두유,195,125,18,6,3.2,5,230,0
P028748,우리콩두유(우리콩식품),195,90,9,7,2.7,4,220,0
P028749,양배추 분말스틱,4,15,4,0,0,0,0,0
P028751,엑스트라 버진 올리브유,15,900,0,0,100,0,0,0
P028752,올리브레몬유,15,800,0,0,93,0,0,0
P028753,올리브 바질유,15,800,0,0,93,0,0,0
P028754,자연드림 들기름,100,830,0,0,92,0,10,0
P028756,자연드림 생들기름,100,835,0,0,93,0,0,0
P028757,자연드림 압착 유채유,100,825,0,0,91,0,0,0
P028760,자연드림 참기름,100,835,0,0,93,0,0,0
P028761,크림스파게티 소스,100,170,7,2,15,2,240,0
P028762,상큼한 토마토 케찹,100,95,23,0.7,0,19,610,0
P028763,상큼한 스파게티 소스,400,270,44,8,7,39,2410,0
P028766,정성담은 발사믹 드레싱,100,210,28,0,11,19,870,0
P028767,정성담은 사우전 아일랜드 드레싱,100,245,17,0.7,19,11,420,0
P028768,정성담은 산뜻한 마요네즈,100,650,8,2,68,2,400,0
P028769,정성담은 상큼한 탕수육 소스,100,165,40,0.7,0,35,450,0
P028770,정성담은 상큼한 피자소스,100,80,15,2,1.2,10,260,0
P028771,정성담은 스테이크 소스,100,140,28,1,2.5,22,880,0
P028772,정성담은 시저 드레싱,100,325,16,2,28,7,450,0
P028773,정성담은 오리엔탈 드레싱,100,195,18,2,13,13,1390,0
P028774,정성담은 칠리소스,100,140,34,0.7,0,17,540,0
P028775,정성담은 허니머스타드 소스,100,400,13,2,38,12,540,0
P028776,정성담은 흑임자 소스,100,335,21,2,27,12,290,0
P028777,고기만두,510,970,114,47,36,10,1560,0
P028778,군만두,510,1055,112,46,47,11,1170,0
P028779,물만두,510,1170,106,48,61,11,1150,0
P028780,김치만두,510,1020,145,36,33,13,1700,0
P028781,피자군만두,510,1050,151,46,30,30,1820,0
P028782,왕만두,640,1035,110,50,44,3,1810,0
P028783,잡채만두,400,825,95,43,30,8,840,0
P028784,군만두(벌크),1020,2105,223,91,94,23,2340,0
P028785,물만두(벌크),1020,2335,212,96,123,22,2300,0
P028786,잡채만두(벌크),100,205,24,11,8,2,210,0
P028787,고기만두(1인용),150,285,33,14,11,3,460,0
P028788,군만두(1인용),150,310,33,13,14,3,340,0
P028789,물만두(1인용),150,345,31,14,18,3,340,0
P028790,김치만두(1인용),150,300,43,11,10,4,500,0
P028791,고기교자만두,400,805,85,31,37,4,1310,0
P028792,고추군만두,510,915,126,32,31,6,1230,0
P028793,김치교자만두,400,770,110,23,28,7,1460,0
P028794,꽃빵*250g*쿱만두,250,620,123,15,8,11,280,0
P028795,담백한우리밀또띠아,80,315,61,6,5,1,370,0
P028796,우리밀만두피*쿱만두,330,870,176,23,8,2,790,0
P028797,유기농채소만두,300,415,79,13,4.9,9,580,0
P028798,채소가득채식만두,300,485,93,15,6,5,960,0
P028799,콤비네이션피자*쿱도우,510,1290,178,65,36,22,1790,0
P028800,한우불고기피자,495,1305,155,66,47,24,1850,0
P028801,현미우리밀또띠아,400,1580,311,28,25,9,780,0
P028802,가득찬메밀국수,820,485,98,19,2.2,23,2330,0
P028803,건당면,100,350,86,0,0,0,0,0
P028804,건자른당면,100,350,86,0,0,0,0,0
P028805,매콤달콤비빔냉면,420,1180,156,17,54,39,1450,0
P028806,메밀수제비,500,1160,246,35,4.1,10,630,0
P028807,북어멸치칼국수,466,525,116,12,1.4,6,1410,0
P028808,비비베르데유기농스파게티,100,370,77,10,2.4,8,0,0
P028809,비비베르데유기농펜네,100,349,69,11,1.9,4,0,0
P028810,생생당면,210,430,90,0,0,0,0,0
P028811,시원한동치미냉면,450,400,84,14,0.7,13,1985,0
P028812,안심생짜장면,350,730,131,27,11,23,2890,0
P028813,온밀면,456,400,83,9,3.4,3,1330,0
P028814,우리밀생면,200,545,112,6,1.5,21,1070,0
P028815,우리밀수제비,500,1135,255,28,0,10,510,0
P028816,우리밀스파게티면,110,315,62,13,1.5,2,520,0
P028817,우리밀우동면,200,560,119,15,2.9,0,950,0
P028818,우리밀쫄면면,525,1260,279,26,4.4,18,590,0
P028819,우리밀칼국수면,200,570,120,15,3.3,0,850,0
P028820,쫄깃쫄깃생쫄면,230,520,109,15,2.7,17,950,0
P028821,쿱스파게티,100,365,77,11,1.6,8,0,0
P028822,탱탱밀국수면,150,382,85,8,1.4,2,382,0
P028823,탱탱밀면,472,85,32,0,0.9,7,2420,0
P028824,자연드림비빔면,133,555,81,10,22,11,1200,0
P028825,자연드림감자라면,113,530,65,15,23,3,1650,0
P028826,자연드림라면레드,112,480,72,11,16,7,1760,0
P028827,레드라면컵,103,470,68,10,17,3,1930,0
P028828,레드라면컵미니,65,290,42,6,11,2,960,0
P028829,안심짜장면,138,580,88,11,21,12,1170,0
P028830,안심짜장면컵,124,545,75,9,23,8,770,0
P028831,자연드림유기농라면,114,530,75,9,21,3,1070,0
P028832,자연드림라면,111,505,76,11,18,2,1840,0
P028833,자연드림라면컵,102,460,66,10,17,4,1920,0
P028834,자연드림라면컵미니,65,300,44,6,11,2,1170,0
P028835,자연드림사골라면,112,495,74,11,17,4,1670,0
P028836,자연드림사리면,100,435,67,11,14,1,470,0
P028837,자연드림콩국수라면,142,650,84,20,26,3,1100,0
P028838,자연드림해물라면,113,515,77,12,18,3,1807,0
P028839,자연드림해물볶음면,114,505,73,12,19,10,1080,0
P028840,자연드림채소라면,116,505,77,11,17,6,1880,0
P028841,자연드림해물라면컵,105,480,67,9,19,4,1540,0
P028842,우리밀국수,100,355,74,11,1.7,2,790,0
P028843,밀예찬우리밀백밀국수,400,1520,317,46,7,16,2390,0
P028844,우리메밀국수,100,365,76,10,2.8,2,740,0
P028845,흑미찐빵,50,125,25,3,1.3,5,80,0
P028846,괴산찰옥수수찐빵,330,800,148,21,14,45,670,0
P028847,쑥부쟁이찐빵,390,945,164,24,22,38,480,0
P028848,채소찐빵,420,995,173,27,22,25,900,0
P028849,팥찐빵,300,710,136,21,9,42,340,0
P028850,호두과자,180,635,99,13,21,84,170,0
P028851,단팥빵,80,225,38,7,5,13,140,0
P028852,우리밀롤빵,270,920,143,29,26,18,800,0
P028853,크림빵,70,290,32,4,16,6,190,0
P028854,검은깨어묵핫도그,270,680,93,21,25,31,1020,0
P028855,꼬마핫도그,200,670,57,21,40,21,710,0
P028856,소보루빵,70,275,43,5,9,8,170,0
P028857,우리밀벨기에와플,85,350,48,5,15,11,270,0
P028858,인절미카스테라,50,205,22,5,13,15,90,0
P028859,치즈꼬마핫도그,160,600,40,23,39,16,390,0
P028860,한입쏙핫도그,250,305,34,11,14,12,290,0
P028861,핫도그,195,540,49,21,40,18,570,0
